metric_id,ci_id,metric_type,metric_value,unit,threshold_warning,threshold_critical,is_anomaly,anomaly_score,collected_at
5c08863f-47ae-4085-9302-fa49d1a764a3,cc7f94d9-4b88-4b35-bed5-ed76c4fc502b,memory_usage,35.75,%,75,90,false,0.0,2026-01-24 16:30:55
fa022639-79a5-4773-a76e-c613a1589b5d,5856c89b-8778-4534-a29c-7487b60e9fa8,network_out,368.76,Mbps,700,900,false,0.0,2026-01-05 10:02:09
d09fae1e-175c-4c3d-ad01-a726dfd1b7d7,820a401b-c0e1-4475-9697-b57732437bb4,error_rate,0.65,%,1,5,false,0.0,2026-01-06 14:32:31
df48eea7-b4bc-4abf-8862-656fc1229c27,6131ab6e-0057-4da2-9f61-8a411e99e18a,disk_usage,85.75,%,80,95,false,0.0,2026-01-02 22:09:34
fe0cfc8c-fce1-4163-ad4e-4a6909814e0d,16136614-e26d-4045-92e5-9161e3b6a0c0,connection_count,141.64,count,700,900,false,0.0,2026-01-07 15:54:48
158fd09f-ab77-4e00-aed0-5a24d666abc9,a4ed7edb-cee2-4c26-9e55-02f31aac1ad3,latency_p50,75.64,ms,100,200,false,0.0,2026-01-31 08:30:03
41b1c3d1-ba6c-4fd7-83d4-d74f851faf35,9afb888c-a5ad-411b-be47-dae081d205ff,memory_usage,5.4,%,75,90,false,0.0,2026-01-29 10:11:56
21740b1a-1e82-4452-abfa-62fa98ea67a5,45043937-32b7-4bf3-a7fe-cf6847598801,disk_usage,52.82,%,80,95,false,0.0,2026-01-15 09:13:15
8875098a-836d-4d74-8e67-0051fde1197a,3182cd1e-ab3b-4864-acab-ae2b5c566e4b,connection_count,546.99,count,700,900,false,0.0,2026-01-10 08:45:22
1f194568-22cc-4eb8-b187-b8867f885174,4a796ef7-1079-4e16-913b-f2d9863de199,latency_p99,83.79,ms,500,1000,false,0.0,2026-01-07 06:30:38
61c8b649-d259-4d8c-914f-8566aa687981,92691dcf-7185-4abf-91db-1ea46dd88e54,network_in,62.1,Mbps,700,900,false,0.0,2026-01-18 12:31:56
08be735a-1afa-4cbc-976a-0b10a4d02494,f4ff1e8e-7197-4752-b1e9-cae2cb64a054,network_in,490.1,Mbps,700,900,false,0.0,2026-01-15 02:43:44
67b4ce3a-db17-4a8b-b395-fb99b5fac465,49f00ff8-348d-4e43-93ea-b87723fb65f4,disk_usage,45.2,%,80,95,false,0.0,2026-01-02 12:00:13
42781cd8-f35b-40b5-850a-112d0bdbcb83,fb91483d-7e2d-456d-8439-8035e83a2e25,network_in,418.88,Mbps,700,900,false,0.0,2026-01-19 00:03:54
e9f1ab0d-8108-4e8a-9a21-e6171ceac5d7,6131ab6e-0057-4da2-9f61-8a411e99e18a,latency_p99,1335.63,ms,500,1000,true,0.8356,2026-01-28 15:18:58
831b91df-89ba-43f7-a3fc-9662dcf35345,50133837-0d53-423c-adc3-3525fc0fb685,request_count,7437.25,req/s,7000,9000,false,0.0,2026-01-06 21:38:37
ca501958-6d6e-43d2-aefd-f646fb816864,adf01df8-f06f-449c-985e-9e4d5c4ae820,latency_p99,364.7,ms,500,1000,false,0.0,2026-01-18 11:52:38
